data_id,item_id,language,form,item_kind,category,uni_lemma,lexical_category,date_of_test,age,comprehension,production,is_norming,child_id
1,item_3,Korean,Words and Sentences,word_forms_verbs,locations,fish (animal),adjective,2010-03-10,28,212,228,FALSE,11888
2,item_14,French,Short Form of Words and Sentences,gestures_adult,household,juice,other,2010-09-30,42,498,517,TRUE,11898
3,item_4,Thai,Words and Sentences,how_use_words,question_words,ice cream,other,2010-09-20,42,475,257,FALSE,92506
4,item_8,English (American),Short Form of Words and Sentences,word_endings_verbs,household,frog,other,2010-10-21,57,301,631,FALSE,93491
5,item_1,Bengali,Words and Sentences,word,games_routines,cat,verb,2010-09-27,57,196,197,TRUE,54504
6,item_18,Japanese,Short Form of Words and Sentences,word_endings,people,bread,other,2010-06-08,46,102,603,FALSE,45047
7,item_15,Dutch,Words and Gestures,combine,toys,pants,other,2010-08-20,50,277,350,FALSE,76580
8,item_1,Vietnamese,Short Form of Words and Sentences,gestures_parent,locations,bread,verb,2010-12-26,47,658,397,TRUE,33956
9,item_8,French,Words and Gestures,word_endings_verbs,games_routines,elephant,other,2010-08-29,31,418,643,TRUE,87034
10,item_12,Thai,Short Form of Words and Sentences,combine,outside,tissue,other,2010-09-15,44,714,550,TRUE,41122
11,item_14,Korean,Words and Sentences,word_endings_verbs,sounds,crocodile,noun,2010-06-04,53,532,459,FALSE,15223
12,item_15,Vietnamese,Short Form of Words and Sentences,how_use_words,games_routines,bottle,other,2010-09-24,57,793,229,TRUE,24614
13,item_8,Turkish,Short Form of Words and Gestures,gestures_first,helping_verbs,shoe,verb,2010-10-20,32,797,247,FALSE,45827
14,item_3,Arabic,Short Form of Words and Sentences,gestures_parent,toys,ice cream,noun,2010-04-05,59,151,397,TRUE,85836
15,item_11,Turkish,Short Form of Words and Gestures,phrases,question_words,carrot,noun,2010-03-03,59,527,133,FALSE,34152
16,item_19,Hindi,Short Form of Words and Sentences,gestures_games,time_words,chocolate,adjective,2010-04-08,58,427,304,TRUE,29564
17,item_6,Spanish,Short Form of Words and Sentences,how_use_words,body_parts,frog,verb,2010-08-27,52,618,426,TRUE,27735
18,item_15,Russian,Words and Sentences,gestures_first,places,frog,noun,2010-09-30,24,517,513,TRUE,98208
19,item_9,German,Short Form of Words and Gestures,gestures_parent,household,tissue,other,2010-11-15,36,499,469,TRUE,24148
20,item_12,Dutch,Short Form of Words and Sentences,word_forms_nouns,people,spoon,other,2010-04-04,29,393,623,TRUE,36882
21,item_5,Portuguese,Words and Gestures,combine,food_drink,pants,adjective,2010-07-20,30,325,312,TRUE,73946
22,item_19,Bengali,Short Form of Words and Sentences,gestures_parent,pronouns,crocodile,noun,2010-08-16,26,664,105,TRUE,80567
23,item_10,Arabic,Short Form of Words and Sentences,complexity,pronouns,spoon,noun,2010-02-25,39,267,552,TRUE,10705
24,item_8,Dutch,Words and Sentences,phrases,furniture_rooms,bottle,verb,2010-03-26,50,432,634,FALSE,90997
25,item_12,English (American),Short Form of Words and Gestures,gestures_adult,question_words,hat,verb,2010-07-25,18,330,289,FALSE,33149
26,item_11,Japanese,Short Form of Words and Sentences,gestures_parent,sounds,mommy,other,2010-09-28,43,203,114,FALSE,52755
27,item_13,English (American),Short Form of Words and Sentences,word_endings_nouns,outside,toothbrush,noun,2010-02-23,42,701,130,TRUE,64255
28,item_5,Turkish,Short Form of Words and Sentences,word_endings,action_words,blanket,other,2010-08-18,37,745,267,TRUE,98435
29,item_20,German,Words and Sentences,word_endings_verbs,clothing,apple,adjective,2010-08-12,54,247,654,FALSE,50048
30,item_8,Swedish,Short Form of Words and Sentences,word_endings,household,dog,noun,2010-07-16,58,578,341,FALSE,26917
31,item_7,Spanish,Words and Sentences,gestures_first,household,banana,adjective,2010-10-28,56,672,352,TRUE,96745
32,item_3,Thai,Short Form of Words and Sentences,combine,sounds,giraffe,noun,2010-06-11,27,768,520,TRUE,30344
33,item_16,Bengali,Words and Gestures,gestures_parent,animals,bottle,noun,2010-12-27,40,594,438,TRUE,33306
34,item_11,Bengali,Words and Gestures,first_signs,furniture_rooms,daddy,noun,2010-07-28,27,774,155,FALSE,46240
35,item_9,German,Words and Gestures,phrases,action_words,cat,noun,2010-02-23,49,442,443,TRUE,48008
36,item_5,Korean,Words and Sentences,word,sounds,toothbrush,noun,2010-05-13,40,533,462,TRUE,68337
37,item_8,German,Short Form of Words and Sentences,word_forms_verbs,places,ice cream,other,2010-08-17,58,201,364,TRUE,96187
38,item_18,Italian,Short Form of Words and Sentences,word,action_words,chocolate,other,2010-03-24,40,499,268,TRUE,58087
39,item_2,Hindi,Short Form of Words and Sentences,word_endings_nouns,animals,banana,other,2010-09-19,38,155,188,FALSE,30878
40,item_14,French,Short Form of Words and Gestures,combine,toys,bee,noun,2010-07-04,41,362,313,FALSE,35904
41,item_5,Russian,Words and Sentences,gestures_objects,vehicles,pants,noun,2010-10-14,57,736,483,TRUE,99316
42,item_13,Portuguese,Words and Sentences,starting_to_talk,pronouns,tissue,noun,2010-10-06,50,199,108,FALSE,86173
43,item_8,Spanish,Short Form of Words and Sentences,gestures_first,helping_verbs,toothbrush,adjective,2010-05-23,36,312,670,FALSE,69685
44,item_1,Vietnamese,Short Form of Words and Gestures,gestures_games,places,pants,adjective,2010-11-06,43,179,225,TRUE,16163
45,item_15,Spanish,Words and Gestures,word_endings_nouns,clothing,giraffe,other,2010-02-04,50,187,600,TRUE,62301
46,item_2,Turkish,Words and Sentences,gestures_adult,descriptive_words,frog,verb,2010-12-09,30,617,107,FALSE,56478
47,item_6,Korean,Words and Gestures,word,descriptive_words,dog,verb,2010-12-17,24,167,318,FALSE,82374
48,item_19,English (American),Short Form of Words and Sentences,gestures_objects,outside,tissue,other,2010-08-20,32,712,286,FALSE,86829
49,item_4,Thai,Short Form of Words and Sentences,word_endings_verbs,locations,bread,other,2010-07-13,28,707,164,FALSE,26732
50,item_11,Thai,Short Form of Words and Sentences,gestures_adult,locations,sandwich,other,2010-10-18,55,125,629,FALSE,71841
51,item_4,Russian,Words and Sentences,gestures_games,people,juice,noun,2010-05-12,32,420,357,FALSE,78534
52,item_3,Bengali,Short Form of Words and Sentences,word,toys,apple,verb,2010-12-06,33,626,243,TRUE,71971
53,item_1,Swedish,Words and Sentences,gestures_parent,food_drink,cat,other,2010-03-15,50,234,267,FALSE,78810
54,item_19,Spanish,Short Form of Words and Sentences,word,body_parts,apple,verb,2010-06-10,21,308,689,FALSE,60454
55,item_8,Bengali,Short Form of Words and Sentences,gestures_parent,food_drink,elephant,verb,2010-12-11,50,195,112,FALSE,40152
56,item_4,Italian,Short Form of Words and Gestures,gestures_adult,vehicles,tissue,verb,2010-10-16,58,501,698,FALSE,81307
57,item_4,Russian,Words and Sentences,gestures_parent,time_words,spoon,verb,2010-12-06,56,454,518,TRUE,66880
58,item_1,Thai,Short Form of Words and Gestures,word_endings_verbs,locations,dog,other,2010-02-11,18,670,659,FALSE,87210
59,item_8,Spanish,Words and Gestures,first_signs,toys,blanket,other,2010-06-30,51,322,512,TRUE,26186
60,item_7,Italian,Words and Sentences,how_use_words,sounds,fish (animal),other,2010-08-03,35,769,624,TRUE,81913
61,item_19,Swedish,Words and Sentences,complexity,question_words,banana,other,2010-12-24,47,405,576,TRUE,21326
62,item_9,German,Short Form of Words and Sentences,gestures_adult,question_words,shoe,verb,2010-10-02,35,701,344,FALSE,60229
63,item_8,Thai,Words and Gestures,word_forms_nouns,helping_verbs,bottle,noun,2010-04-10,37,710,577,FALSE,44874
64,item_9,Russian,Words and Sentences,complexity,time_words,daddy,other,2010-05-07,48,170,613,TRUE,74356
65,item_4,Italian,Short Form of Words and Gestures,word,vehicles,carrot,noun,2010-03-20,30,672,260,FALSE,80367
66,item_1,Italian,Words and Gestures,word_endings,food_drink,bottle,adjective,2010-09-10,35,100,151,TRUE,86276
67,item_1,Thai,Words and Sentences,gestures_first,quantifiers,dog,verb,2010-05-14,53,717,118,TRUE,38622
68,item_7,Russian,Words and Sentences,word_endings,action_words,blanket,noun,2010-08-23,55,387,469,FALSE,87080
69,item_6,Dutch,Words and Gestures,word_endings,places,mommy,other,2010-03-16,43,456,280,TRUE,46856
70,item_15,Russian,Short Form of Words and Gestures,how_use_words,connecting_words,pizza,other,2010-10-12,41,368,136,TRUE,98380
71,item_11,Chinese,Words and Gestures,word_endings_verbs,question_words,tissue,other,2010-02-05,28,100,138,FALSE,48869
72,item_7,English (American),Words and Sentences,starting_to_talk,toys,apple,noun,2010-10-25,34,265,127,FALSE,42891
